experiment,rank,method,n,trials,mean_ratio,sd_ratio,mc_standard_error,q025_ratio,q975_ratio,mean_radius,intrinsic_oracle,effective_rank_exact,covered_trials,coverage,coverage_cp95_lower,coverage_cp95_upper,commutator_frequency,commutator_probability_exact
noncommuting,3,oeb,20000,40,1.047484679327649,0.003547368687245124,0.0005608882376028042,1.040941973489882,1.0537498886433563,0.01088785072716279,0.010394281598611443,3.0,40,1.0,0.9119026971211976,1.0,0.7490399519975999,0.75
noncommuting,3,meb1,20000,40,1.664550478133485,0.005819260853375837,0.0009201059297661394,1.6541928863220978,1.6750842204210454,0.01730180640482276,0.010394281598611443,3.0,40,1.0,0.9119026971211976,1.0,0.7490399519975999,0.75
noncommuting,3,meb2,20000,40,1.5369210302309888,0.001833499364003071,0.00028990170393599214,1.5346402033206574,1.5406053063515968,0.015975189983048907,0.010394281598611443,3.0,40,1.0,0.9119026971211976,1.0,0.7490399519975999,0.75
noncommuting,5,oeb,20000,40,1.0757391316839127,0.0018468707868004649,0.0002920159115158354,1.0724295494035712,1.0790427883422662,0.009999570686450663,0.009295534941447928,5.0,40,1.0,0.9119026971211976,1.0,0.9376656332816641,0.9375
noncommuting,5,meb1,20000,40,1.6172801595648694,0.00314703690281362,0.0004975902246746499,1.6112157031615846,1.6230027688200483,0.015033484233345723,0.009295534941447928,5.0,40,1.0,0.9119026971211976,1.0,0.9376656332816641,0.9375
noncommuting,5,meb2,20000,40,1.4665238855661513,0.0057171130150463515,0.0009039549384069482,1.4572777464692244,1.4780245471563278,0.013632124020748143,0.009295534941447928,5.0,40,1.0,0.9119026971211976,1.0,0.9376656332816641,0.9375
noncommuting,10,oeb,20000,40,1.1492505683887486,0.001620188635108224,0.00025617431630307175,1.1459535506087772,1.1518372650450228,0.008553984876565807,0.007443098234494249,9.999999999999998,40,1.0,0.9119026971211976,1.0,0.7513463173158658,0.751953125
noncommuting,10,meb1,20000,40,1.5879954440974586,0.002990487288752224,0.00047283755731193313,1.582465347185161,1.593060460015545,0.011819606086346704,0.007443098234494249,9.999999999999998,40,1.0,0.9119026971211976,1.0,0.7513463173158658,0.751953125
noncommuting,10,meb2,20000,40,1.3923108280783947,0.00504122518888731,0.0007970876897348229,1.384228912772213,1.4020956775124924,0.010363106266337524,0.007443098234494249,9.999999999999998,40,1.0,0.9119026971211976,1.0,0.7513463173158658,0.751953125
noncommuting,20,oeb,20000,40,1.2807402934624985,0.0014172458285938354,0.00022408624113645547,1.278264622964286,1.2832070295506721,0.007359509151963495,0.005746293131815947,19.999999999999996,40,1.0,0.9119026971211976,1.0,0.8231986599329967,0.8238010406494141
noncommuting,20,meb1,20000,40,1.5966241762111328,0.002854426981264688,0.0004513245337717594,1.5921518756295123,1.602172058577992,0.009174670537853327,0.005746293131815947,19.999999999999996,40,1.0,0.9119026971211976,1.0,0.8231986599329967,0.8238010406494141
noncommuting,20,meb2,20000,40,1.339302714897648,0.003551227102231035,0.0005614983065784845,1.3314387158977359,1.3444225220852752,0.007696025992038805,0.005746293131815947,19.999999999999996,40,1.0,0.9119026971211976,1.0,0.8231986599329967,0.8238010406494141
rkhs,32,oeb,10000,100,1.1982524030617894,0.0013407110190203403,0.00013407110190203402,1.1958425790884963,1.200836701341514,0.012452424934535935,0.010392155194279055,10.16487538733763,100,1.0,0.9637833073548235,1.0,,
rkhs,32,meb1,10000,100,1.3298176717694448,0.002041998839608863,0.0002041998839608863,1.325707343781744,1.3341726651100336,0.013819671625122914,0.010392155194279055,10.16487538733763,100,1.0,0.9637833073548235,1.0,,
rkhs,32,meb2,10000,100,1.1265947823944666,0.001764496485894112,0.0001764496485894112,1.123793004984907,1.12969210772356,0.011707747819708337,0.010392155194279055,10.16487538733763,100,1.0,0.9637833073548235,1.0,,
rkhs,64,oeb,10000,100,1.2046423442130887,0.0012891547472446004,0.00012891547472446005,1.2023420991779739,1.2072074918490505,0.012796392862068774,0.01062256604505115,10.51390506886554,100,1.0,0.9637833073548235,1.0,,
rkhs,64,meb1,10000,100,1.398579719574184,0.002067819553423079,0.00020678195534230788,1.394451835288686,1.4031006783699442,0.014856505440445889,0.01062256604505115,10.51390506886554,100,1.0,0.9637833073548235,1.0,,
rkhs,64,meb2,10000,100,1.1790746707699498,0.0016559703866571218,0.00016559703866571217,1.1765685472387117,1.182161292529561,0.012524798562300732,0.01062256604505115,10.51390506886554,100,1.0,0.9637833073548235,1.0,,
rkhs,128,oeb,10000,100,1.2048685990498271,0.0012876424980720119,0.0001287642498072012,1.2025720302785237,1.2074331788567831,0.012808577539194017,0.010630684166966425,10.526301157005014,100,1.0,0.9637833073548235,1.0,,
rkhs,128,meb1,10000,100,1.4652708132535943,0.002155266070502659,0.0002155266070502659,1.4609714949220485,1.469987203239973,0.015576831234773002,0.010630684166966425,10.526301157005014,100,1.0,0.9637833073548235,1.0,,
